Date,Open,High,Low,Close,Adj Close,Volume
2014-06-04,4.733330,4.800000,4.730000,4.740000,2.724318,867900
2014-06-05,4.746670,4.790000,4.653330,4.653330,2.674505,1273500
2014-06-06,4.746670,4.750000,4.640000,4.720000,2.712823,828000
2014-06-09,4.736670,4.796670,4.730000,4.766670,2.739647,432900
2014-06-10,4.796670,4.830000,4.670000,4.723330,2.714738,421800
2014-06-11,4.743330,4.783330,4.710000,4.710000,2.707076,1145100
2014-06-13,4.716670,4.796670,4.700000,4.730000,2.718570,370500
2014-06-16,4.750000,4.756670,4.630000,4.630000,2.661096,322500
2014-06-17,4.656670,4.656670,4.580000,4.626670,2.659182,945900
2014-06-18,4.616670,4.683330,4.610000,4.683330,2.691748,582600
2014-06-20,4.730000,4.736670,4.633330,4.633330,2.663009,583800
2014-06-23,4.653330,4.720000,4.633330,4.666670,2.682172,533400
2014-06-24,4.693330,4.693330,4.616670,4.666670,2.682172,982200
2014-06-25,4.703330,4.703330,4.523330,4.530000,2.603621,1000800
2014-06-26,4.530000,4.580000,4.483330,4.526670,2.601707,1739700
2014-06-27,4.516670,4.576670,4.450000,4.576670,2.630444,1310700
2014-06-30,4.573330,4.633330,4.506670,4.603330,2.645767,1241400
2014-07-01,4.603330,4.613330,4.486670,4.486670,2.578717,564300
2014-07-02,4.533330,4.540000,4.423330,4.466670,2.567221,3677100
2014-07-03,4.466670,4.493330,4.363330,4.480000,2.574883,1359000
2014-07-04,4.500000,4.680000,4.480000,4.680000,2.689834,500700
2014-07-07,4.636670,4.666670,4.610000,4.643330,2.668757,736200
2014-07-08,4.646670,4.733330,4.633330,4.666670,2.682172,808500
2014-07-10,4.666670,4.733330,4.613330,4.613330,2.651514,1134000
2014-07-11,4.626670,4.703330,4.596670,4.646670,2.670677,707400
2014-07-14,4.660000,4.726670,4.620000,4.680000,2.689834,585000
2014-07-15,4.680000,4.680000,4.646670,4.646670,2.670677,1116600
2014-07-16,4.633330,4.673330,4.466670,4.466670,2.567221,1187400
2014-07-17,4.490000,4.606670,4.470000,4.543330,2.611283,755100
2014-07-18,4.566670,4.593330,4.513330,4.513330,2.594039,889200
2014-07-21,4.560000,4.580000,4.503330,4.510000,2.592126,351000
2014-07-22,4.500000,4.633330,4.500000,4.603330,2.645767,589800
2014-07-23,4.603330,4.633330,4.533330,4.583330,2.634273,4708800
2014-07-24,4.616670,4.616670,4.510000,4.553330,2.617030,862500
2014-07-25,4.556670,4.640000,4.503330,4.506670,2.590212,784200
2014-07-28,4.523330,4.523330,4.406670,4.446670,2.555727,1067100
2014-07-29,4.446670,4.456670,4.376670,4.426670,2.544232,743400
2014-07-30,4.410000,4.503330,4.376670,4.503330,2.588292,1121100
2014-07-31,4.476670,4.476670,4.396670,4.383330,2.519322,1040100
2014-08-01,4.416670,4.440000,4.346670,4.416670,2.597385,1042200
2014-08-04,4.416670,4.500000,4.383330,4.500000,2.646390,843600
2014-08-05,4.500000,4.520000,4.430000,4.500000,2.646390,1259400
2014-08-06,4.506670,4.616670,4.486670,4.583330,2.695396,942900
2014-08-07,4.586670,4.586670,4.450000,4.460000,2.622866,941100
2014-08-08,4.456670,4.500000,4.420000,4.500000,2.646390,706800
2014-08-11,4.546670,4.546670,4.483330,4.516670,2.656193,301800
2014-08-12,4.513330,4.586670,4.513330,4.583330,2.695396,381600
2014-08-13,4.583330,4.610000,4.510000,4.533330,2.665991,945300
2014-08-14,4.536670,4.653330,4.510000,4.650000,2.734603,637200
2014-08-15,4.650000,4.770000,4.650000,4.730000,2.781650,663300
2014-08-18,4.733330,4.816670,4.733330,4.766670,2.803215,575400
2014-08-19,4.813330,4.900000,4.756670,4.893330,2.877702,783000
2014-08-20,4.900000,4.956670,4.863330,4.946670,2.909071,967200
2014-08-21,4.936670,5.000000,4.936670,4.950000,2.911030,673800
2014-08-22,4.950000,5.023330,4.860000,4.920000,2.893387,565200
2014-08-25,4.926670,5.043330,4.926670,4.983330,2.930631,1219500
2014-08-26,4.986670,5.080000,4.946670,5.066670,2.979641,2244900
2014-08-27,5.066670,5.090000,5.020000,5.070000,2.981600,1462500
2014-08-28,5.073330,5.193330,5.046670,5.193330,3.054128,907800
2014-08-29,5.210000,5.430000,5.210000,5.416670,3.185471,1792200
2014-09-01,5.463330,5.483330,5.370000,5.433330,3.195270,1142700
2014-09-02,5.433330,5.523330,5.356670,5.426670,3.191352,1155300
2014-09-03,5.433330,5.636670,5.420000,5.536670,3.256042,995100
2014-09-04,5.483330,5.496670,5.310000,5.313330,3.124699,1385400
2014-09-05,5.340000,5.383330,5.266670,5.350000,3.146263,1052700
2014-09-08,5.390000,5.433330,5.256670,5.306670,3.120783,555000
2014-09-09,5.263330,5.276670,5.133330,5.153330,3.030605,510900
2014-09-10,5.116670,5.233330,5.116670,5.196670,3.056092,645900
2014-09-11,5.196670,5.300000,5.196670,5.280000,3.105098,315900
2014-09-12,5.273330,5.276670,5.076670,5.080000,2.987481,395700
2014-09-15,5.086670,5.303330,5.086670,5.233330,3.077651,1507200
2014-09-16,5.260000,5.436670,5.250000,5.353330,3.148222,1457100
2014-09-17,5.363330,5.403330,5.250000,5.296670,3.114901,4357500
2014-09-18,5.310000,5.370000,5.233330,5.233330,3.077651,946800
2014-09-19,5.233330,5.330000,5.173330,5.300000,3.116859,681600
2014-09-22,5.243330,5.280000,5.153330,5.216670,3.067854,699600
2014-09-23,5.233330,5.300000,5.180000,5.233330,3.077651,1397700
2014-09-24,5.233330,5.346670,5.220000,5.320000,3.128621,843600
2014-09-25,5.280000,5.336670,5.246670,5.270000,3.099217,362100
2014-09-26,5.276670,5.450000,5.250000,5.450000,3.205073,916500
2014-09-29,5.443330,5.443330,5.250000,5.346670,3.144306,1324200
2014-09-30,5.333330,5.666670,5.243330,5.666670,3.332493,2169000
2014-10-01,5.666670,5.683330,5.313330,5.330000,3.134502,1076700
2014-10-02,5.333330,5.410000,5.326670,5.366670,3.156067,931200
2014-10-03,5.373330,5.396670,5.260000,5.363330,3.154103,933300
2014-10-06,5.370000,5.560000,5.370000,5.420000,3.187430,634200
2014-10-07,5.470000,5.553330,5.436670,5.496670,3.232518,804000
2014-10-08,5.543330,5.633330,5.503330,5.563330,3.271720,859800
2014-10-09,5.573330,5.790000,5.573330,5.700000,3.352094,1112400
2014-10-10,5.600000,5.786670,5.600000,5.630000,3.310928,853800
2014-10-13,5.680000,5.833330,5.540000,5.696670,3.350136,798600
2014-10-14,5.690000,5.693330,5.520000,5.600000,3.293286,784800
2014-10-15,5.566670,5.610000,5.393330,5.513330,3.242316,789000
2014-10-16,5.396670,5.500000,5.393330,5.443330,3.201150,665100
2014-10-17,5.443330,5.533330,5.343330,5.353330,3.148222,644100
2014-10-20,5.300000,5.413330,5.200000,5.336670,3.138424,1180200
2014-10-21,5.316670,5.316670,5.316670,5.316670,3.126662,1176300
2014-10-22,5.300000,5.393330,5.143330,5.200000,3.058051,859500
2014-10-23,5.143330,5.276670,5.033330,5.160000,3.034528,574500
2014-10-24,5.200000,5.366670,5.170000,5.266670,3.097259,410100
2014-10-27,5.016670,5.406670,5.016670,5.353330,3.148222,703200
2014-10-28,5.353330,5.530000,5.346670,5.506670,3.238399,805200
2014-10-29,5.566670,5.616670,5.476670,5.600000,3.293286,1849200
2014-10-30,5.600000,5.600000,5.523330,5.500000,3.234478,556800
2014-10-31,5.523330,5.853330,5.523330,5.830000,3.543254,849900
2014-11-03,5.766670,5.943330,5.726670,5.943330,3.612131,521400
2014-11-04,5.933330,5.933330,5.740000,5.773330,3.508812,512400
2014-11-05,5.806670,5.893330,5.703330,5.833330,3.545278,692400
2014-11-06,5.816670,5.896670,5.733330,5.750000,3.494633,927600
2014-11-07,5.766670,5.810000,5.650000,5.743330,3.490580,428700
2014-11-10,5.710000,5.896670,5.616670,5.650000,3.433856,1012500
2014-11-11,5.636670,5.666670,5.586670,5.666670,3.443987,378000
2014-11-12,5.666670,5.800000,5.620000,5.666670,3.443987,4915500
2014-11-13,5.700000,5.760000,5.356670,5.356670,3.255582,1649700
2014-11-14,5.320000,5.480000,5.180000,5.416670,3.292047,1550400
2014-11-17,5.483330,5.516670,5.270000,5.270000,3.202906,540300
2014-11-18,5.283330,5.410000,5.200000,5.410000,3.287993,405300
2014-11-19,5.406670,5.550000,5.366670,5.450000,3.312304,772800
2014-11-21,5.406670,5.626670,5.406670,5.546670,3.371057,1487100
2014-11-24,5.573330,5.756670,5.573330,5.596670,3.401445,1311300
2014-11-25,5.543330,5.690000,5.500000,5.510000,3.348769,549000
2014-11-26,5.563330,5.653330,5.443330,5.443330,3.308250,564300
2014-11-27,5.473330,5.590000,5.370000,5.500000,3.342692,528000
2014-11-28,5.500000,5.750000,5.470000,5.750000,3.494633,817500
2014-12-01,5.626670,5.630000,5.463330,5.500000,3.342692,8478339
2014-12-02,5.530000,5.556670,5.436670,5.500000,3.342692,10833339
2014-12-03,5.500000,5.593330,5.403330,5.480000,3.330537,544200
2014-12-04,5.513330,5.733330,5.483330,5.600000,3.403469,791400
2014-12-05,5.620000,5.750000,5.596670,5.680000,3.452089,836100
2014-12-08,5.650000,5.866670,5.573330,5.586670,3.395367,865200
2014-12-09,5.593330,5.790000,5.513330,5.733330,3.484501,2178600
2014-12-10,5.733330,5.810000,5.633330,5.633330,3.423725,507600
2014-12-11,5.666670,5.750000,5.586670,5.640000,3.427778,365100
2014-12-12,5.640000,5.640000,5.256670,5.283330,3.211009,1095900
2014-12-15,5.316670,5.410000,5.150000,5.216670,3.170495,969600
2014-12-16,5.193330,5.226670,5.020000,5.083330,3.089455,1319100
2014-12-17,5.080000,5.120000,4.976670,5.040000,3.063121,2356800
2014-12-18,5.070000,5.230000,5.063330,5.063330,3.077301,480600
2014-12-19,5.070000,5.166670,5.070000,5.083330,3.089455,713700
2014-12-22,5.116670,5.270000,5.036670,5.190000,3.154286,981000
2014-12-23,5.133330,5.250000,5.093330,5.093330,3.095533,785400
2014-12-26,5.110000,5.130000,5.013330,5.100000,3.099587,506700
2014-12-29,5.086670,5.113330,4.986670,5.056670,3.073254,354600
2014-12-30,5.060000,5.236670,5.016670,5.100000,3.099587,383400
2015-01-02,5.096670,5.146670,4.903330,4.966670,3.018554,964200
2015-01-05,4.853330,5.060000,4.816670,4.883330,2.967903,1226400
2015-01-06,4.883330,5.006670,4.783330,4.783330,2.907128,762600
2015-01-07,4.943330,5.160000,4.943330,5.160000,3.136053,4521600
2015-01-08,5.150000,5.210000,5.056670,5.133330,3.119843,855000
2015-01-09,5.113330,5.173330,5.056670,5.056670,3.073254,402300
2015-01-12,5.083330,5.123330,4.973330,5.016670,3.048943,631200
2015-01-13,5.043330,5.166670,5.016670,5.166670,3.140106,443400
2015-01-14,5.146670,5.146670,5.053330,5.093330,3.095533,518100
2015-01-15,5.150000,5.180000,5.040000,5.100000,3.099587,441300
2015-01-16,5.056670,5.150000,5.053330,5.116670,3.109719,358200
2015-01-19,5.116670,5.163330,4.966670,5.000000,3.038811,597000
2015-01-20,5.006670,5.130000,5.000000,5.073330,3.083378,1291200
2015-01-21,5.066670,5.076670,4.946670,4.996670,3.036787,913200
2015-01-22,5.003330,5.086670,4.903330,5.003330,3.040835,1463100
2015-01-23,5.016670,5.063330,4.990000,5.063330,3.077301,721500
2015-01-26,5.033330,5.050000,4.826670,4.853330,2.949670,1793100
2015-01-27,4.806670,4.936670,4.750000,4.850000,2.947646,1505400
2015-01-28,4.813330,4.813330,4.683330,4.700000,2.856482,1468500
2015-01-29,4.700000,4.770000,4.693330,4.703330,2.858506,966300
